valid_at,hour,day,day_of_week,month,year,city,altitude,density_of_population,sensor_id,type_sensor,pm2p5_x,pm2p5_y,pressure,relative_humidity,temperature,wind_speed,rain,latitudine,longitudine
2019-06-21 17:00:00,17,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,15.57,13.0,1005.0,72.54,27.42,7.3,0.0,13.04088,77.57428
2019-06-21 18:00:00,18,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.6,13.0,1006.0,72.86,26.79,12.2,0.1,13.04088,77.57428
2019-06-21 19:00:00,19,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,12.380000000000006,13.0,1010.0,75.07,26.48,22.3,0.3,13.04088,77.57428
2019-06-21 20:00:00,20,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,13.259999999999998,13.0,1007.0,75.78,26.01,14.3,0.0,13.04088,77.57428
2019-06-21 21:00:00,21,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,12.139999999999995,10.0,1011.0,75.41,25.56,18.4,0.0,13.04088,77.57428
2019-06-21 22:00:00,22,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.749999999999996,9.0,1011.0,75.73,25.56,14.8,0.0,13.04088,77.57428
2019-06-21 23:00:00,23,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.020000000000003,4.800000000000001,1009.0,74.95,25.51,15.7,0.0,13.04088,77.57428
2019-06-22 00:00:00,0,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,9.829999999999998,15.0,1009.0,75.4,25.02,13.7,0.0,13.04088,77.57428
2019-06-22 01:00:00,1,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,16.32,15.0,1009.0,71.82,25.19,15.1,0.0,13.04088,77.57428
2019-06-22 02:00:00,2,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,22.44,18.0,1008.0,70.84,26.19,12.4,0.0,13.04088,77.57428
2019-06-22 03:00:00,3,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,20.91,16.0,1007.0,69.27,28.05,12.6,0.0,13.04088,77.57428
2019-06-22 04:00:00,4,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,14.86,11.000000000000002,1007.0,64.79,29.18,13.7,0.0,13.04088,77.57428
2019-06-22 05:00:00,5,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,9.2,12.0,1008.0,58.01,31.19,19.4,0.0,13.04088,77.57428
2019-06-22 06:00:00,6,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,10.52,5.5,1010.0,57.44,32.66,25.9,0.0,13.04088,77.57428
2019-06-22 09:00:00,9,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,14.85,15.0,1011.0,49.67,34.06,14.8,0.0,13.04088,77.57428
2019-06-22 10:00:00,10,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,14.579999999999998,17.0,1011.0,55.5,32.33,22.3,0.0,13.04088,77.57428
2019-06-22 11:00:00,11,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,16.87,22.0,1009.0,59.78,32.12,12.9,0.0,13.04088,77.57428
2019-06-22 12:00:00,12,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,20.97,11.05,1010.0,59.3,32.18,25.9,0.0,13.04088,77.57428
2019-06-22 13:00:00,13,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,19.3,18.0,1009.0,63.23,30.57,18.4,0.0,13.04088,77.57428
2019-06-22 14:00:00,14,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,19.23,16.0,1007.0,65.22,29.64,15.2,0.0,13.04088,77.57428
2019-06-22 15:00:00,15,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,16.02,14.0,1008.0,65.78,28.9,18.4,0.0,13.04088,77.57428
2019-06-22 16:00:00,16,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,20.94,25.0,1007.0,69.02,28.24,18.4,0.0,13.04088,77.57428
2019-06-22 17:00:00,17,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,35.27,17.0,1005.0,69.71,27.77,16.7,0.098,13.04088,77.57428
2019-06-22 18:00:00,18,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,23.56,13.0,1008.0,70.44,27.45,25.9,0.0,13.04088,77.57428
2019-06-22 19:00:00,19,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,15.119999999999996,14.0,1009.0,72.78,26.49,22.3,0.0,13.04088,77.57428
2019-06-22 20:00:00,20,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,14.28,7.149999999999999,1007.0,73.01,26.12,7.4,0.0,13.04088,77.57428
2019-06-22 21:00:00,21,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.22,7.0,1011.0,74.67,26.06,18.4,0.0,13.04088,77.57428
