valid_at,hour,day,day_of_week,month,year,city,altitude,density_of_population,sensor_id,type_sensor,pm2p5_x,pm2p5_y,pressure,relative_humidity,temperature,wind_speed,rain,latitudine,longitudine
2020-03-22 17:00:00,17.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,113.98,58.6,1008.6,54.6,24.26,12.2,0.0,31.6885,76.9496
2020-03-22 18:00:00,18.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,105.97,50.2,1009.0,55.95,23.79,5.4,0.0,31.6885,76.9496
2020-03-22 19:00:00,19.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,105.56,49.8,1010.0,60.97,22.96,5.8,0.0,31.6885,76.9496
2020-03-22 20:00:00,20.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,109.86,50.7,1010.0,63.73,22.71,3.6,0.0,31.6885,76.9496
2020-03-22 21:00:00,21.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,113.6,48.7,1011.0,62.2,22.72,7.6,0.0,31.6885,76.9496
2020-03-22 22:00:00,22.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,116.83,45.0,1012.0,65.2,21.71,7.9,0.0,31.6885,76.9496
2020-03-22 23:00:00,23.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,118.55,48.2,1012.0,67.18,21.03,7.2,0.0,31.6885,76.9496
2020-03-23 00:00:00,0.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,122.73,47.2,1012.0,67.93,20.85,7.2,0.0,31.6885,76.9496
2020-03-23 01:00:00,1.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,128.74,44.7,1012.0,63.25,22.94,7.2,0.0,31.6885,76.9496
2020-03-23 02:00:00,2.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,157.47,71.6,1012.0,56.49,27.54,7.9,0.0,31.6885,76.9496
2020-03-23 03:00:00,3.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,87.69,46.5,1011.0,48.25,32.21,8.6,0.0,31.6885,76.9496
2020-03-23 05:00:00,5.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,38.11,27.4,1011.0,27.01,38.48,8.3,0.0,31.6885,76.9496
2020-03-23 06:00:00,6.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,38.04,28.2,1011.0,25.78,40.04,6.1,0.0,31.6885,76.9496
2020-03-23 07:00:00,7.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,31.5,22.3,1012.0,21.04,40.33,5.4,0.0,31.6885,76.9496
2020-03-23 08:00:00,8.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,30.81,25.4,1013.2,20.51,40.76,6.1,0.0,31.6885,76.9496
2020-03-23 09:00:00,9.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,34.37,26.5,1014.0,24.74,40.21,6.1,0.0,31.6885,76.9496
2020-03-23 10:00:00,10.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,30.69,27.1,1014.0,24.65,38.54,5.8,0.0,31.6885,76.9496
