city,intersected_cities,MAE,MSE,RMSE,R2
Delhi,"Calgary, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",21.88908272512452,1097.7623448538363,33.13249680983666,0.8233197515680899
Calgary,"Delhi, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",1.726078554349604,6.749185350297007,2.5979194272142094,0.7592109030766161
Bangalore,"Delhi, Calgary, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",3.4213992606860213,22.448384330320657,4.737972597041973,0.8890305463654882
Hamirpur,"Delhi, Calgary, Bangalore, Badajoz, Lima_AIRBEAM, Lima_IQAir, Aosta",6.058952295811626,78.84486656804299,8.87946319143466,0.9450178700002232
Southampton_PMS5003,Southampton_SPS030,1.1055419381205704,3.159012252534363,1.7773610360684637,0.9287828088579432
Southampton_SPS030,Southampton_PMS5003,2.555646137822918,17.74383809452389,4.212343539471097,0.6005451986832624
Badajoz,"Delhi, Calgary, Bangalore, Hamirpur, Lima_AIRBEAM, Lima_IQAir, Aosta",4.586633508928127,59.58856479163909,7.719362978357676,0.6442203536157833
Lima_AIRBEAM,"Delhi, Calgary, Bangalore, Hamirpur, Badajoz, Lima_IQAir, Aosta",4.0012609273680795,48.646092459468235,6.974675079132234,0.5511747920843502
Lima_IQAir,"Delhi, Calgary, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Aosta",2.94013821247805,15.501493877788596,3.9371936551036697,0.7888002117321838
Aosta,"Delhi, Calgary, Bangalore, Hamirpur, Badajoz, Lima_AIRBEAM, Lima_IQAir",2.663426727336833,15.304396282499432,3.912083368551779,0.6365152968174509
