city,type_sensor,num dataset,R2
"Aosta, Badajoz",SPS030,2,0.8852112032621191
"Aosta, Badajoz, Bangalore",SPS030,3,0.739696539049828
"Aosta, Badajoz, Bangalore, Calgary",SPS030,4,0.7220340460158656
"Aosta, Badajoz, Bangalore, Calgary, Delhi",SPS030,5,0.7017664749064354
"Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur",SPS030,6,0.7127460810771248
"Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",SPS030,7,0.6971167862215728
"Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima",SPS030,8,0.7010702952686023
"Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima, Southampton",SPS030,9,0.39587604548158306
"Aosta, Badajoz, Bangalore, Calgary, Delhi, Hamirpur, Lima, Southampton",SPS030,10,0.056879276403575374
"Badajoz, Aosta",OPC-N3,1,0.7244438427112265
"Badajoz, Aosta, Bangalore",OPC-N3,3,0.6584484711705556
"Badajoz, Aosta, Bangalore, Calgary",OPC-N3,4,0.6545167031336371
"Badajoz, Aosta, Bangalore, Calgary, Delhi",OPC-N3,5,0.6410481820673833
"Badajoz, Aosta, Bangalore, Calgary, Delhi, Hamirpur",OPC-N3,6,0.6393729319010599
"Badajoz, Aosta, Bangalore, Calgary, Delhi, Hamirpur, Lima",OPC-N3,7,0.6405206467731956
"Badajoz, Aosta, Bangalore, Calgary, Delhi, Hamirpur, Lima",OPC-N3,8,0.6305034303769871
"Badajoz, Aosta, Bangalore, Calgary, Delhi, Hamirpur, Lima, Southampton",OPC-N3,9,0.4596845286771276
"Badajoz, Aosta, Bangalore, Calgary, Delhi, Hamirpur, Lima, Southampton",OPC-N3,10,0.4381952212366935
"Bangalore, Aosta",PMS5003,1,0.8970707601662894
"Bangalore, Aosta, Badajoz",PMS5003,2,0.891501126355823
"Bangalore, Aosta, Badajoz, Calgary",PMS5003,4,0.8854806543670353
"Bangalore, Aosta, Badajoz, Calgary, Delhi",PMS5003,5,0.8615472291956625
"Bangalore, Aosta, Badajoz, Calgary, Delhi, Hamirpur",PMS5003,6,0.8612317678123209
"Bangalore, Aosta, Badajoz, Calgary, Delhi, Hamirpur, Lima",PMS5003,7,0.8310598082604504
"Bangalore, Aosta, Badajoz, Calgary, Delhi, Hamirpur, Lima",PMS5003,8,0.8414123076031839
"Bangalore, Aosta, Badajoz, Calgary, Delhi, Hamirpur, Lima, Southampton",PMS5003,9,0.8150097703808536
"Bangalore, Aosta, Badajoz, Calgary, Delhi, Hamirpur, Lima, Southampton",PMS5003,10,0.828851276434088
"Calgary, Aosta",PMS5003,1,0.9752510681182504
"Calgary, Aosta, Badajoz",PMS5003,2,0.9464048148067439
"Calgary, Aosta, Badajoz, Bangalore",PMS5003,3,0.8939716084064098
"Calgary, Aosta, Badajoz, Bangalore, Delhi",PMS5003,5,0.7950864846836644
"Calgary, Aosta, Badajoz, Bangalore, Delhi, Hamirpur",PMS5003,6,0.7782651908704427
"Calgary, Aosta, Badajoz, Bangalore, Delhi, Hamirpur, Lima",PMS5003,7,0.6353282207992347
"Calgary, Aosta, Badajoz, Bangalore, Delhi, Hamirpur, Lima",PMS5003,8,0.6764673954753992
"Calgary, Aosta, Badajoz, Bangalore, Delhi, Hamirpur, Lima, Southampton",PMS5003,9,0.328496429299196
