valid_at,hour,day,day_of_week,month,year,city,altitude,density_of_population,sensor_id,type_sensor,pm2p5_x,pressure,relative_humidity,temperature,wind_speed,rain,latitudine,longitudine,pm2p5_y
2019-06-21 18:00:00,18,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.6,1006.0,72.86,26.79,12.2,0.1,13.04088,77.57428,13.0
2019-06-21 19:00:00,19,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,12.380000000000006,1010.0,75.07,26.48,22.3,0.3,13.04088,77.57428,13.0
2019-06-21 20:00:00,20,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,13.259999999999998,1007.0,75.78,26.01,14.3,0.0,13.04088,77.57428,13.0
2019-06-21 21:00:00,21,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,12.139999999999995,1011.0,75.41,25.56,18.4,0.0,13.04088,77.57428,10.0
2019-06-21 22:00:00,22,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.749999999999996,1011.0,75.73,25.56,14.8,0.0,13.04088,77.57428,9.0
2019-06-21 23:00:00,23,21.0,Friday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,11.020000000000003,1009.0,74.95,25.51,15.7,0.0,13.04088,77.57428,4.800000000000001
2019-06-22 01:00:00,1,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,16.32,1009.0,71.82,25.19,15.1,0.0,13.04088,77.57428,15.0
2019-06-22 04:00:00,4,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,14.86,1007.0,64.79,29.18,13.7,0.0,13.04088,77.57428,11.000000000000002
2019-06-22 05:00:00,5,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,9.2,1008.0,58.01,31.19,19.4,0.0,13.04088,77.57428,12.0
2019-06-22 06:00:00,6,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,10.52,1010.0,57.44,32.66,25.9,0.0,13.04088,77.57428,5.5
2019-06-22 09:00:00,9,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,14.85,1011.0,49.67,34.06,14.8,0.0,13.04088,77.57428,15.0
2019-06-22 11:00:00,11,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,16.87,1009.0,59.78,32.12,12.9,0.0,13.04088,77.57428,22.0
2019-06-22 12:00:00,12,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,20.97,1010.0,59.3,32.18,25.9,0.0,13.04088,77.57428,11.05
2019-06-22 13:00:00,13,22.0,Saturday,6,2019,Bangalore,923.0,16335.0,Sensor Bangalore,PMS5003,19.3,1009.0,63.23,30.57,18.4,0.0,13.04088,77.57428,18.0
