valid_at,hour,day,day_of_week,month,year,city,altitude,density_of_population,sensor_id,type_sensor,pm2p5_x,pressure,relative_humidity,temperature,wind_speed,rain,latitudine,longitudine,pm2p5_y
2020-03-22 18:00:00,18.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,105.97,1009.0,55.95,23.79,5.4,0.0,31.6885,76.9496,50.2
2020-03-22 19:00:00,19.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,105.56,1010.0,60.97,22.96,5.8,0.0,31.6885,76.9496,49.8
2020-03-22 20:00:00,20.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,109.86,1010.0,63.73,22.71,3.6,0.0,31.6885,76.9496,50.7
2020-03-22 21:00:00,21.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,113.6,1011.0,62.2,22.72,7.6,0.0,31.6885,76.9496,48.7
2020-03-22 22:00:00,22.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,116.83,1012.0,65.2,21.71,7.9,0.0,31.6885,76.9496,45.0
2020-03-22 23:00:00,23.0,22,Sunday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,118.55,1012.0,67.18,21.03,7.2,0.0,31.6885,76.9496,48.2
2020-03-23 00:00:00,0.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,122.73,1012.0,67.93,20.85,7.2,0.0,31.6885,76.9496,47.2
2020-03-23 02:00:00,2.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,157.47,1012.0,56.49,27.54,7.9,0.0,31.6885,76.9496,71.6
2020-03-23 03:00:00,3.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,87.69,1011.0,48.25,32.21,8.6,0.0,31.6885,76.9496,46.5
2020-03-23 06:00:00,6.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,38.04,1011.0,25.78,40.04,6.1,0.0,31.6885,76.9496,28.2
2020-03-23 10:00:00,10.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,30.69,1014.0,24.65,38.54,5.8,0.0,31.6885,76.9496,27.1
2020-03-23 12:00:00,12.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,51.95,1013.0,28.78,33.24,1.7999999999999998,0.0,31.6885,76.9496,39.3
2020-03-23 17:00:00,17.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,125.92000000000002,1007.8,47.88,26.99,10.8,0.0,31.6885,76.9496,77.2
2020-03-23 18:00:00,18.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,113.43,1009.0,49.48,25.63,5.8,0.0,31.6885,76.9496,61.0
2020-03-23 19:00:00,19.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,112.02,1009.0,54.25,24.52,9.0,0.0,31.6885,76.9496,55.3
2020-03-23 20:00:00,20.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,114.04,1010.0,57.27,23.21,7.9,0.0,31.6885,76.9496,54.0
2020-03-23 21:00:00,21.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,125.81,1010.0,60.69,22.23,7.2,0.0,31.6885,76.9496,67.0
2020-03-23 22:00:00,22.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,152.36,1011.0,64.36,21.25,7.2,0.0,31.6885,76.9496,77.8
2020-03-23 23:00:00,23.0,23,Monday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,129.276,1011.0,66.58,20.78,7.2,0.0,31.6885,76.9496,87.3
2020-03-24 02:00:00,2.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,106.73,1011.0,58.64,27.15,6.8,0.0,31.6885,76.9496,71.0
2020-03-24 03:00:00,3.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,113.22,1010.0,48.08,31.08,6.5,0.0,31.6885,76.9496,50.2
2020-03-24 04:00:00,3.999999999999999,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,73.33,1010.0,36.59,34.58,7.6,0.0,31.6885,76.9496,40.4
2020-03-24 05:00:00,5.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,52.61,1010.0,27.82,38.29,7.2,0.0,31.6885,76.9496,37.9
2020-03-24 06:00:00,6.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,40.8,1011.0,26.74,38.6,6.8,0.0,31.6885,76.9496,28.3
2020-03-24 07:00:00,7.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,38.18,1011.0,22.59,41.09,6.8,0.0,31.6885,76.9496,29.5
2020-03-24 08:00:00,8.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,32.56,1012.1,21.35,42.86,7.6,0.0,31.6885,76.9496,27.6
2020-03-24 09:00:00,9.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,31.32,1012.0,24.05,42.32,7.9,0.0,31.6885,76.9496,29.1
2020-03-24 10:00:00,10.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,27.85,1013.0,24.510000000000005,40.16,8.6,0.0,31.6885,76.9496,27.1
2020-03-24 20:00:00,20.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,131.27,1009.0,59.3,24.9,7.9,0.0,31.6885,76.9496,58.4
2020-03-24 21:00:00,21.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,139.79,1010.0,62.4,25.09,7.2,0.0,31.6885,76.9496,69.2
2020-03-24 22:00:00,22.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,134.39,1010.0,61.33,25.14,7.6,0.0,31.6885,76.9496,61.3
2020-03-24 23:00:00,23.0,24,Tuesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,135.62,1010.0,61.64,24.21,7.6,0.0,31.6885,76.9496,63.6
2020-03-25 00:00:00,0.0,25,Wednesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,130.5,1010.0,63.64,24.58,6.5,0.0,31.6885,76.9496,57.0
2020-03-25 01:00:00,1.0,25,Wednesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,127.2,1010.0,56.7,27.18,6.5,0.0,31.6885,76.9496,52.4
2020-03-25 02:00:00,2.0,25,Wednesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,102.63,1010.0,50.75,30.9,7.2,0.0,31.6885,76.9496,51.3
2020-03-25 04:00:00,3.999999999999999,25,Wednesday,3.0,2020,Hamirpur,148.0,28313.0,Sensor Hamirpur,PMS5003,65.4,1009.0,38.03,35.81,4.7,0.0,31.6885,76.9496,38.0
